brand,tweet_id,customer_text,brand_reply,llm_label,my_label
AppleSupport,1291179,"sooo annoyed. Bought @118062’s album on iTunes, but when I play it on the Music app, it refuses to play in order! @AppleSupport — help! 🤬🤬🤬","@408501 Let's take a look at this together. Do you happen to have shuffle enabled? To check, open the Now Playing screen and scroll down.",deflection,
SpotifyCares,2716522,"@SpotifyCares It's a Win7 PC, version is 1.0.67.582.g19436fa3","@762521 Got it! Could you try reinstalling the app again: https://t.co/46sWVpIvlI. Note that after you've reinstalled, any offline music you have needs to be downloaded again. Let us know how it goes /RA",substantive,
SpotifyCares,53139,@115888 your 'sub low' playlist is essential to getting things done and it hasn't been updated since September pls help,"@127974 Hey Dylan! Thanks for your feedback. We can't be sure of an exact timeframe, but we'll make sure to let the right folks know 🙂 /Q",deflection,
AppleSupport,752430,"@115858 it would be very much appreciated if i could make a phone call on my phone successfully, sort it the fuck oot mannnn",@299837 We know how important it is to be able to depend on your phone. Can you tell us what happens when you make a call?,deflection,
AppleSupport,2973422,"@AppleSupport Why is it that since iOS 10, I can’t turn Do Not Disturb on or off using Siri while the phone is locked? Doesn’t do it on friends phones.","@820051 We know how convenient our Siri feature can be. We want to help. Let's start by checking your Siri settings to make sure ""Allow Siri When Locked"" is turned on. This article shows you how to check those settings. https://t.co/vDsPkLKaYM",substantive,
AppleSupport,2012088,@115858 Also my Siri doesn’t work anymore,@546830 We'd be happy to see how we can help. Which iPhone and iOS 11 version are you running?,deflection,
SpotifyCares,1713322,"@SpotifyCares to a student account but no one has emailed me back, and yall just continue to take my money..","@518914 1: Hey, help's arrived! We currently don't have telephone support, but we can help on Twitter. You can also get in touch with our email... https://t.co/ldFdZRiNAt",deflection,
AppleSupport,1659142,"@116333 I am using 5S,but suddenly realize that it can get unlock without  passcode &amp; scan , where is the security feature??","@506202 We want to help. DM us, and let us know the details. We'll look into this. https://t.co/GDrqU22YpT",deflection,
SpotifyCares,1162348,@SpotifyCares i was just wondering when the new taylor swift album is going to be on the german spotify,"@393487 Got it. 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c /TR",substantive,
SpotifyCares,2312357,@115888 @SpotifyCares pls help i do not want to buy anymore cds,@670592 Hey there! Check out https://t.co/zgnxs5kPEu if your mom hasn't had a subscription before 😉 /AP,substantive,
SpotifyCares,229852,"@115888 hello, will you make a new app on W10 mobile? now that MS groove music users have to use spotify ! thank u",@170774 2. you can check this link for more details about Groove Music &amp; Spotify: https://t.co/Peyq1ETDeT /KM,deflection,
AppleSupport,338610,@AppleSupport iPhone7-phone rings thru speakers when earbuds plugged in Lightning port. How do I set to ring in earb instead of speaker?,@196832 Let's see what we can find! What setting do you have for Settings &gt; General &gt; Accessibility &gt; Call Audio Routing?,deflection,
AppleSupport,2586384,"@AppleSupport 11.1.2 does seem to fix it, so far at any rate but previously it instantly turned off.","@732859 We're glad to hear that the update resolved the behavior and got it working normally for you again. If there's any other way we can assist, don't hesitate to reach out. We're always happy to help.",unclear,
SpotifyCares,426774,"@SpotifyCares Thanks /MU and /RS for diagnosing and fixing my account problems, you guys rock!! 🤘","@216504 Aaw, that's nice to hear! For anything else, just give us a shout. https://t.co/M9DGmitf5G 🤘 /MU",unclear,
AppleSupport,2052604,Dear @115858 can yall do an iOS update that actually improves battery life instead of destroying it #iOS1102,@607039 Many factors can affect battery life. Try using these steps: https://t.co/bivpdfBNJ6 DM us if you still need help. https://t.co/GDrqU22YpT,deflection,
SpotifyCares,1838753,@SpotifyCares I need to cancel my subscription and would like a refund as it has only been charged today. Please help,"@551101 Hey there, help's here! Can you DM us your account's email address and username? We'll take a look backstage 🙂 /CG https://t.co/ldFdZRiNAt",deflection,
AppleSupport,913525,"@AppleSupport Hi, my apple id has been ""locked for security reasons"" but i dont have access to the recovery email anymore. Please advise?",@187556 We are here to help.  We value privacy and security.  Please contact us here about this issue:   https://t.co/UJm15vmMM2,deflection,
SpotifyCares,2439906,How has my Spotify account just disappeared? Come back😩,@699802 Hey Shannen. We've just sent a DM your way. Let's carry on chatting there /JU,deflection,
SpotifyCares,1780803,@117153 Hey my card isnt working for spotify! i've tried all the troubleshooting but nothing is working. Please help!,"@535041 Hey Nathan, help's here! Could you DM us your account's email address and username? We'll check backstage for you /BX https://t.co/ldFdZRiNAt",deflection,
AppleSupport,2408596,.@AppleSupport Scroll is also patchy. 11.1.1 has it all jacked up.,@237538 We'd like to hear more about what's going on. What happens when you try to swipe up to unlock? Let us know in DM and we'll continue there. https://t.co/GDrqU22YpT,deflection,
