brand,tweet_id,customer_text,brand_reply,heuristic,hand_label,label_rationale,confidence
AmazonHelp,164963,"@AmazonHelp I rarely make a point of publicly saying how awful a companies service is, but yours seriously tops it all. Refund my prime membership, your amazon logistic drivers all need to get eye tests, can't read bloody road signs.",@154237 Hi there. I'm sorry to hear about the trouble you're having! We've responded to your DM. You're more than welcome to respond on whichever platform you prefer. ^HC,deflection,deflection,"Refers to DM reply only, no inline resolution",high
SpotifyCares,2439906,How has my Spotify account just disappeared? Come back😩,@699802 Hey Shannen. We've just sent a DM your way. Let's carry on chatting there /JU,deflection,deflection,"Sent DM, continue there, no inline step",high
AppleSupport,752430,"@115858 it would be very much appreciated if i could make a phone call on my phone successfully, sort it the fuck oot mannnn",@299837 We know how important it is to be able to depend on your phone. Can you tell us what happens when you make a call?,unclear,deflection,Diagnostic question about what happens on call,high
Ask_Spectrum,2616214,typical that my @115955 internet goes down on one of the only days I can use my internet for a good amount of time,"@739484 My apologies on the service issue, we can certainly take a look. Please Follow/DM the account information including the full address and phone number. ^SH",deflection,deflection,"DM account info requested, no inline step",high
SpotifyCares,728390,"@SpotifyCares 
Not already in my artist insight playlists ?? Why ??
https://t.co/FRtDfty4EI

32 followers are more than 25 or am i wrong ?",@294502 Hey! We've replied to your DM. Check it out and we'll continue over there /RC,substantive,deflection,"Replied to DM, continue there",high
Ask_Spectrum,2067194,@Ask_Spectrum Why as legacy i am 60/mo for 60mbps when friend just signed 45/mo for 300mbps (exTWC)? legacy going to get same deal?,"@611288 I’m sorry, we don’t handle this kind of request via social media. Most companies have intro promotions. We do as ... https://t.co/zy2c3lfK4g",unclear,deflection,"Refuses to discuss via social, redirect only",high
TMobileHelp,2886347,@115911 where can you use the snapple and Hershey coupons? They give no store info.,"@800512 Hi Hannah, once you REDEEM it will allow you to select your preferred retailer. *KaeW",unclear,substantive,"Direct instruction: redeem first, then select retailer",high
Uber_Support,2352447,@Uber_Support don't have an account to use that link,@679817 You can write us at https://t.co/balq3Eyso6 without having an account and a member from our team will follow up with you.,substantive,deflection,"Link-only channel, no inline resolution",high
AmazonHelp,1387056,"Now that @115821 has massively delayed a delivery second time in as many weeks, I must ask: @146911 when do you start shipping in the United States.",@442758 I'm sorry to hear your order was delayed! What is the current tracking status of the order? You can find this information here: https://t.co/q4LAMZ3tbE ^JS,substantive,deflection,Diagnostic question about tracking status,high
AppleSupport,2508149,@AppleSupport I'm on the phone with AppleCare but thanks for your reply. Got some races coming up this week! Fingers crossed we can get it worked out :-),"@715049 Excellent. You are in good hands then. If there is anything we can do to assist you in the future, please don't hesitate to reach back out.",unclear,unclear,"Already resolving elsewhere, pleasant close, no action",high
AppleSupport,2410369,@115858 when are you going to fix this “I️ “ thing?,@552416 Hey there. We've released an iOS update to help address what you're seeing on your device. Make sure you're up to date with iOS 11.1.1: https://t.co/ahjigcvFRG,substantive,substantive,Names specific fix: update to iOS 11.1.1,high
AmazonHelp,1549423,bought a new phone charger and my phone battery is so much better now. thank you to my niggaz at @117795,@479608 We got you fam! 💯 ^EP,deflection,unclear,"Pure acknowledgement, no support action needed",high
SpotifyCares,29033,I WILL AS SOON AS MY SPOTIFY IS FIXED BUT NO ANSWER ]: https://t.co/w4as3XSf7T,@122389 Hey! We've sent a DM your way. Check it out 🙂 /L,substantive,deflection,"Sent DM, no inline step",high
SpotifyCares,2210962,@115888 Why does my music cur@our on your app whenever I️ refresh my twitter or Instagram?,"@646232 Hey Nate! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /LO",unclear,deflection,Diagnostic question: device/OS/version,high
AppleSupport,2419527,@115858 the new iOS update sucks it has slowed EVERYTHING down,@695096 That should not be happening. Let us help. Tell us more about this in DM. https://t.co/GDrqU22YpT,deflection,deflection,"Token gesture then DM, no inline step",high
SpotifyCares,2471766,@SpotifyCares just signed for a 30 day free trial and a pop up appeared on @115888 “7 day free trial” had started? Can you please help? https://t.co/hyuRLwr3dc,@706904 Hi! Help's here. Can you DM us your account's username and email address? We'll take a closer look /SV https://t.co/ldFdZRiNAt,deflection,deflection,DM account username/email requested,high
Uber_Support,1238282,"@Uber_Support I received my email that my account is now active. Shouldn't I receive a new driver package for business cards,fliers etc. ?",@410456 Here to help. Send us a note at https://t.co/FF2YGTGjuA so our team can connect.,deflection,deflection,Link-only channel switch,high
TMobileHelp,1004888,@TMobileHelp @115913 DM’ing you now. I need this resolved ASAP.,"@355877 @115913 I'm only a DM away, Brent. Kindly shoot me that message and we'll get some answers. *MariahDaigle",deflection,deflection,"DM ask, no inline step",high
AmazonHelp,1130524,@AmazonHelp Well I tried everything. Can't call Amazon blocked my number. No support from your end,@386429 I'm sorry about the experience you've had. Click here: https://t.co/GIJyeYqKE0 and do the needful so we can find a fix.^MP,unclear,deflection,"Link only, no inline step",high
Ask_Spectrum,472137,@Ask_Spectrum Why when I am done with a chat support session does it not let me say that my question was not answered. I keep selecting no and it keeps saying I haven't selected a required option. My question was not answered!,@227447 You should be able to respond and submit that your question was not answered. You will be getting a survey that you can answer.  Is there something I can assist you with? ^JJS,substantive,deflection,"Generic offer to help, no fix for original bug",high
TMobileHelp,2135018,"@115911, you know what happens when your Panda Express #TMobileTuesdays code didn’t work? You know what happens when you left people hungry because they didn’t get their food? You know what happens? #TMobile..... YOU JUST MADE THE LIST! https://t.co/5pB0vXFmQO",@346346 We'd love to make sure you #GetThanked moving forward! Please DM us here: https://t.co/gAmFrAsnx1 *PatrickUllmann,substantive,deflection,"DM us, no step",high
TMobileHelp,15760,@TMobileHelp Hi trying to redeem tmobile tuesday's vudu code today and it won't show me the list of movies to be redeemed. need help,@119473 T-Mobile Tuesdays is Awesome!!! I will be more than happy to assist!!! Missing the list of movies? How are you ac... https://t.co/sSF5d9sCW3,unclear,deflection,"Diagnostic question, truncated",high
AmazonHelp,354010,@AmazonHelp C'est qd mm discriminatoire. J'ai rarement fait d'achats de plus de 50€ et ce n'est que mtn qu'on me dit que je ne peux laisser d'avis.,@200163 Utilisez-vous un nouveau compte pour publier votre commentaire ? Car c'est l'addition des montants des commandes validées...1/2,unclear,deflection,Diagnostic clarifying question,high
Ask_Spectrum,1637445,@Ask_Spectrum This is the 2nd day in a row someone was supposed to come out and never did. Contacting spectrum again.,"@500784 Hello Jenny, My apologies for any frustrations or inconvenience. If you’d like to DM your account details (phone ... https://t.co/4MviR9DUg6",deflection,deflection,DM account details requested,high
Ask_Spectrum,2082617,@Ask_Spectrum Contacted chat. Service is down in my area. Waiting for automated call.,@615906 Thank you for letting me know. Here to help if you need anything else. ^DT,unclear,unclear,"Pure acknowledgement, no request or action",high
Uber_Support,290578,@115873 @Uber_Support @119983 Troubled by a spate of #overcharging on my wife's account recently on some flimsy pretext or the other.,"@185204 We're happy to review the charge, just have the account holder visit https://t.co/Won48KGA87 to connect with us.",unclear,deflection,Link-only channel switch,high
TMobileHelp,2026544,@504237 @115913 @115911 Been with T-Mobile for 10 years! I representative committed fraud and accuse me of selling the phone!Nothing been resolved treated like crap,"@599280 @115913 Hey there, Misty. We want to check this out and help. Please send a DM our way: https://t.co/cuEwtd2epS *DanKing",substantive,deflection,"Send DM, no step",high
Ask_Spectrum,2767420,why tf does spectrum internet go down for almost one hour every night now.,"@773865 Thank you for reaching out, if you can please PM me your acct/ph # and address I can certainly look into this for you. ^SS",substantive,deflection,PM account/phone/address requested,high
SpotifyCares,1713322,"@SpotifyCares to a student account but no one has emailed me back, and yall just continue to take my money..","@518914 1: Hey, help's arrived! We currently don't have telephone support, but we can help on Twitter. You can also get in touch with our email... https://t.co/ldFdZRiNAt",substantive,deflection,"No phone support, generic channel note, truncated",high
AmazonHelp,2457750,Amazonプライム会員なる時が来たか…（ゆらり,"@703950 よろしければご検討くださいませm(*-ω-)m https://t.co/FJh7vAncqv
(いろいろご用意しております～https://t.co/CiahTD2Tci o｡.(´-`*) RI",deflection,unclear,"Promotional reply, not a real support resolution",low
Uber_Support,2052563,@Uber_Support Why can't I get phone or text support. You guys are shamefully hiding from my issue,@607025 We responded to your DM! Check your inbox for our message.,substantive,deflection,"Refers to DM, no inline step",high
Uber_Support,100096,"@Uber_Support Hi , but This doesn’t answer my question.",@137931 We'd be happy to clarify. Route based passes are a new promotion that we are offering in select cities. Your account must have received and offer to purchase it this month. Please let us know if you have any questions or concerns.,unclear,substantive,Explains promo eligibility rule inline,high
AmazonHelp,1630231,@AmazonHelp your website? I don’t understand the question.,"@498976 Sorry for the confusion! Which domain did you order on? (https://t.co/nUUp5MLhYl, .de, .co.uk, etc.) ^VB",unclear,deflection,Diagnostic question about domain,high
SpotifyCares,2724040,Why aren’t full album credits available to view on @115888? I’d love to know more about the talented people behind the music I love,"@764074 Hey Frazer! This isn't possible right now, but you can show your support for the idea in our Community: https://t.co/dkpzZy8mrm /RS",substantive,substantive,"Direct answer: feature not available, vote link given",high
